ec50_am,ec50_lm,efficacy
0.11,1.03,0.9945
0.11,1.05,0.9933
0.11,1.07,0.9935
0.11,1.09,0.9937
0.11,1.11,0.9925
0.11,1.1300000000000001,0.9916
0.11,1.1500000000000001,0.9931
0.11,1.17,0.9923
0.11,1.19,0.9912
0.11,1.21,0.9927
0.11,1.23,0.9927
0.11,1.25,0.9907
0.11,1.27,0.9909
0.11,1.29,0.9907
0.11,1.31,0.9901
0.11,1.33,0.9919
0.11,1.35,0.9903
0.11,1.37,0.9907
0.11,1.3900000000000001,0.9912
0.11,1.4100000000000001,0.9884
0.11,1.43,0.9897
0.11,1.45,0.9895
0.11,1.47,0.9898
0.11,1.49,0.9895
0.11,1.51,0.9883
0.11,1.53,0.9893
0.11,1.55,0.9883
0.11,1.57,0.9855
0.11,1.59,0.99
0.11,1.61,0.9885
0.11,1.6300000000000001,0.9884
0.11,1.6500000000000001,0.9877
0.11,1.6700000000000002,0.9886
0.11,1.69,0.9882
0.11,1.71,0.9878
0.11,1.73,0.9881
0.11,1.75,0.989
0.11,1.77,0.9879
0.11,1.79,0.9891
0.11,1.81,0.9871
0.11,1.83,0.9876
0.11,1.85,0.9867
0.11,1.87,0.9874
0.11,1.8900000000000001,0.9872
0.11,1.9100000000000001,0.9878
0.11,1.93,0.9876
0.11,1.95,0.9879
0.11,1.97,0.9882
0.11,1.99,0.9875
0.13,0.01,0.9999
0.13,0.03,0.9999
0.13,0.05,0.9999
0.13,0.06999999999999999,1.0
0.13,0.09,1.0
0.13,0.11,0.9999
0.13,0.13,0.9997
0.13,0.15000000000000002,1.0
0.13,0.17,0.9999
0.13,0.19,1.0
0.13,0.21000000000000002,0.9998
0.13,0.23,1.0
0.13,0.25,0.9998
0.13,0.27,0.9996
0.13,0.29000000000000004,0.9996
0.13,0.31,0.9996
0.13,0.33,0.9996
0.13,0.35000000000000003,0.9997
0.13,0.37,0.9996
0.13,0.39,0.9996
0.13,0.41000000000000003,0.9994
0.13,0.43,0.9996
0.13,0.45,0.9995
0.13,0.47000000000000003,0.999
0.13,0.49,0.999
0.13,0.51,0.9987
0.13,0.53,0.9983
0.13,0.55,0.999
0.13,0.5700000000000001,0.9992
0.13,0.59,0.9983
0.13,0.61,0.9983
0.13,0.63,0.998
0.13,0.65,0.9978
0.13,0.67,0.9976
0.13,0.6900000000000001,0.9978
0.13,0.7100000000000001,0.9977
0.13,0.73,0.9973
0.13,0.75,0.9976
0.13,0.77,0.9973
0.13,0.79,0.9959
0.13,0.81,0.9955
0.13,0.8300000000000001,0.9964
0.13,0.85,0.9956
0.13,0.87,0.9955
0.13,0.89,0.9957
0.13,0.91,0.9946
0.13,0.93,0.9953
0.13,0.9500000000000001,0.9946
0.13,0.97,0.9938
0.13,0.99,0.9923
0.13,1.01,0.992
0.13,1.03,0.9935
0.13,1.05,0.994
0.13,1.07,0.9923
0.13,1.09,0.9925
0.13,1.11,0.9909
0.13,1.1300000000000001,0.9931
0.13,1.1500000000000001,0.9913
0.13,1.17,0.9918
0.13,1.19,0.9898
0.13,1.21,0.9913
0.13,1.23,0.991
0.13,1.25,0.9885
0.13,1.27,0.9915
0.13,1.29,0.99
0.13,1.31,0.9892
0.13,1.33,0.9887
0.13,1.35,0.9889
0.13,1.37,0.9894
0.13,1.3900000000000001,0.9888
0.13,1.4100000000000001,0.9907
0.13,1.43,0.9884
0.13,1.45,0.9884
0.13,1.47,0.9872
0.13,1.49,0.9894
0.13,1.51,0.9887
0.13,1.53,0.9862
0.13,1.55,0.9885
0.13,1.57,0.986
0.13,1.59,0.9891
0.13,1.61,0.9871
0.13,1.6300000000000001,0.9864
0.13,1.6500000000000001,0.9872
0.13,1.6700000000000002,0.9855
0.13,1.69,0.9874
0.13,1.71,0.9868
0.13,1.73,0.9875
0.13,1.75,0.9886
0.13,1.77,0.9862
0.13,1.79,0.9857
0.13,1.81,0.9862
0.13,1.83,0.9866
0.13,1.85,0.9857
0.13,1.87,0.9859
0.13,1.8900000000000001,0.9849
0.13,1.9100000000000001,0.9858
0.13,1.93,0.9854
0.13,1.95,0.9867
0.13,1.97,0.9862
0.13,1.99,0.9838
0.15000000000000002,0.01,0.9999
0.15000000000000002,0.03,0.9999
0.15000000000000002,0.05,0.9998
0.15000000000000002,0.06999999999999999,0.9999
0.15000000000000002,0.09,1.0
0.15000000000000002,0.11,1.0
0.15000000000000002,0.13,0.9999
0.15000000000000002,0.15000000000000002,1.0
0.15000000000000002,0.17,0.9999
0.15000000000000002,0.19,0.9998
0.15000000000000002,0.21000000000000002,0.9999
0.15000000000000002,0.23,1.0
0.15000000000000002,0.25,0.9998
0.15000000000000002,0.27,0.9998
0.15000000000000002,0.29000000000000004,0.9998
0.15000000000000002,0.31,0.9997
0.15000000000000002,0.33,0.9997
0.15000000000000002,0.35000000000000003,0.9993
0.15000000000000002,0.37,0.9991
0.15000000000000002,0.39,0.9995
0.15000000000000002,0.41000000000000003,0.9997
0.15000000000000002,0.43,0.9995
0.15000000000000002,0.45,0.9993
0.15000000000000002,0.47000000000000003,0.999
0.15000000000000002,0.49,0.9997
0.15000000000000002,0.51,0.9988
0.15000000000000002,0.53,0.999
0.15000000000000002,0.55,0.9986
0.15000000000000002,0.5700000000000001,0.9982
0.15000000000000002,0.59,0.9979
0.15000000000000002,0.61,0.9982
0.15000000000000002,0.63,0.9985
0.15000000000000002,0.65,0.9971
0.15000000000000002,0.67,0.9973
0.15000000000000002,0.6900000000000001,0.9973
0.15000000000000002,0.7100000000000001,0.9961
0.15000000000000002,0.73,0.9975
0.15000000000000002,0.75,0.9972
0.15000000000000002,0.77,0.997
0.15000000000000002,0.79,0.9949
0.15000000000000002,0.81,0.9957
0.15000000000000002,0.8300000000000001,0.9959
0.15000000000000002,0.85,0.994
0.15000000000000002,0.87,0.9953
0.15000000000000002,0.89,0.9947
0.15000000000000002,0.91,0.9949
0.15000000000000002,0.93,0.9945
0.15000000000000002,0.9500000000000001,0.9947
0.15000000000000002,0.97,0.9924
0.15000000000000002,0.99,0.9933
0.15000000000000002,1.01,0.9931
0.15000000000000002,1.03,0.9912
0.15000000000000002,1.05,0.9918
0.15000000000000002,1.07,0.9918
0.15000000000000002,1.09,0.9913
0.15000000000000002,1.11,0.9912
0.15000000000000002,1.1300000000000001,0.9894
0.15000000000000002,1.1500000000000001,0.9904
0.15000000000000002,1.17,0.9912
0.15000000000000002,1.19,0.9899
0.15000000000000002,1.21,0.9901
0.15000000000000002,1.23,0.9889
0.15000000000000002,1.25,0.9873
0.15000000000000002,1.27,0.99
0.15000000000000002,1.29,0.9882
0.15000000000000002,1.31,0.9883
0.15000000000000002,1.33,0.9903
0.15000000000000002,1.35,0.9876
0.15000000000000002,1.37,0.9876
0.15000000000000002,1.3900000000000001,0.9879
0.15000000000000002,1.4100000000000001,0.9863
0.15000000000000002,1.43,0.9898
0.15000000000000002,1.45,0.9885
0.15000000000000002,1.47,0.9873
0.15000000000000002,1.49,0.987
0.15000000000000002,1.51,0.987
0.15000000000000002,1.53,0.9865
0.15000000000000002,1.55,0.9875
0.15000000000000002,1.57,0.9856
0.15000000000000002,1.59,0.9857
0.15000000000000002,1.61,0.9858
0.15000000000000002,1.6300000000000001,0.9852
0.15000000000000002,1.6500000000000001,0.9861
0.15000000000000002,1.6700000000000002,0.9841
0.15000000000000002,1.69,0.985
0.15000000000000002,1.71,0.9853
0.15000000000000002,1.73,0.9857
0.15000000000000002,1.75,0.9847
0.15000000000000002,1.77,0.9839
0.15000000000000002,1.79,0.9881
0.15000000000000002,1.81,0.9853
0.15000000000000002,1.83,0.9835
0.15000000000000002,1.85,0.987
0.15000000000000002,1.87,0.9855
0.15000000000000002,1.8900000000000001,0.9858
0.15000000000000002,1.9100000000000001,0.9839
0.15000000000000002,1.93,0.9849
0.15000000000000002,1.95,0.9849
0.15000000000000002,1.97,0.9834
0.15000000000000002,1.99,0.9857
0.17,0.01,0.9999
0.17,0.03,0.9999
0.17,0.05,0.9999
0.17,0.06999999999999999,1.0
0.17,0.09,0.9998
0.17,0.11,0.9998
0.17,0.13,1.0
0.17,0.15000000000000002,0.9999
0.17,0.17,1.0
0.17,0.19,0.9999
0.17,0.21000000000000002,0.9998
0.17,0.23,0.9998
0.17,0.25,0.9997
0.17,0.27,0.9999
0.17,0.29000000000000004,0.9996
0.17,0.31,0.9995
0.17,0.33,0.9992
0.17,0.35000000000000003,0.9994
0.17,0.37,0.9992
0.17,0.39,0.9993
0.17,0.41000000000000003,0.9992
0.17,0.43,0.9995
0.17,0.45,0.9993
0.17,0.47000000000000003,0.9994
0.17,0.49,0.9992
0.17,0.51,0.9988
0.17,0.53,0.9985
0.17,0.55,0.9982
0.17,0.5700000000000001,0.9986
0.17,0.59,0.9977
0.17,0.61,0.998
0.17,0.63,0.9969
0.17,0.65,0.9974
0.17,0.67,0.9984
0.17,0.6900000000000001,0.9978
0.17,0.7100000000000001,0.9968
